id,name,added_at,duration_sec,popularity,artists,genres
2nD9CUfMMUVxL0UyFs8fGG,Pistol,2023-02-27T17:42:09Z,234.174,68,"[{'artist': 'Cigarettes After Sex', 'artist_id': '1QAJqy2dA3ihHBFIHRphZj'}]","['ambient pop', 'dream pop', 'el paso indie', 'pop', 'shoegaze']"
1UVxtRC9AdzpvHH6IJ1DDw,Jaanu Na,2023-02-26T07:21:08Z,213.75,41,"[{'artist': 'Abdul Hannan', 'artist_id': '5mWQT8CLTa4mAQAJdFjHb1'}]","['pakistani indie', 'pakistani pop']"
7jMjMcyt3qxEkbC0s8LJQf,Ghuroor,2023-02-26T07:10:15Z,198.857,46,"[{'artist': 'Izzchughtai', 'artist_id': '211ei6ZiUeBMIXUZGBaJ4S'}, {'artist': 'Abdul Hannan', 'artist_id': '5mWQT8CLTa4mAQAJdFjHb1'}]","['pakistani indie', 'pakistani pop']"
2S3erlZaNr7EGakVORv619,Saal,2023-02-26T06:22:50Z,188.125,48,"[{'artist': 'Ishpreet Singh', 'artist_id': '0uYkdsYTX52nJ3iiER4rg9'}, {'artist': 'Khushraj Hussain', 'artist_id': '2F4iyLhAJANxKrKl3Iw9Dh'}]",['indian singer-songwriter']
6qrifdo7QINdPQr80IelGi,Iraaday,2023-02-26T06:19:52Z,133.305,67,"[{'artist': 'Rovalio', 'artist_id': '01pFDtbY3k5uOmy0Pbg93C'}, {'artist': 'Abdul Hannan', 'artist_id': '5mWQT8CLTa4mAQAJdFjHb1'}]","['pakistani electronic', 'pakistani pop', 'pakistani indie']"
1wYzvT6Ek0rJSyVu848CzN,Awaara Ho,2023-02-25T15:12:23Z,209.142,55,"[{'artist': 'Shashwat Sachdev', 'artist_id': '465OXuCU8YZNmVG1leLwQ9'}]",['modern bollywood']
5fHGpmHX1oADeF6lh63i8J,Meri Hai,2023-02-25T14:57:06Z,209.032,30,"[{'artist': 'U K D', 'artist_id': '2Nmoa6Hzb6eF1egjM76rjK'}]",[]
6k1hBhDbcwyh1KuSFAoLTJ,Tere Bina,2023-02-25T14:53:39Z,172.823,51,"[{'artist': 'KASYAP', 'artist_id': '4p4ILwTCyu0exslJsiQzZP'}]",[]
1XZPtZVqcOzzxbYIR7MjQw,Ontario,2023-02-25T12:20:54Z,192.866,67,"[{'artist': 'Novo Amor', 'artist_id': '0rZp7G3gIH6WkyeXbrZnGi'}, {'artist': 'Ed Tullett', 'artist_id': '5VGsR5wapeJIuRPX26IeGn'}, {'artist': 'Lowswimmer', 'artist_id': '7FW2qwsY0zLV9GppWatQ5P'}]","['ambient folk', 'indie folk', 'pop', 'stomp and flutter']"
5F1ZmucV0uJY14y2dYKePa,Sanctuary,2023-02-25T12:17:24Z,180.018,73,"[{'artist': 'Joji', 'artist_id': '3MZsBdqDrRTJihTHQrO6Dq'}]",['viral pop']
3184CMyowuchbfDlpM1rop,Man Kunto Maula,2023-02-24T17:33:53Z,497.293,24,"[{'artist': 'Arooj Aftab', 'artist_id': '00JAfwtx5gNiiqyor88Dr5'}]",['pakistani indie']
16Fxe5DvEXRxQwcorFyaIO,I'm So Happy (with BENEE),2023-02-22T12:38:57Z,173.365,60,"[{'artist': 'Jeremy Zucker', 'artist_id': '3gIRvgZssIb9aiirIg0nI3'}, {'artist': 'BENEE', 'artist_id': '0Cp8WN4V8Tu4QJQwCN5Md4'}]","['electropop', 'pop', 'alt z', 'nz pop']"
